                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.232,                 2.3457,                 1.9868,                 1.6422,                0.04589,                0.67692,                0.10024,                0.02404,                  0.021,                0.48496,                0.02787,                0.00531,                 2.1355,                 106.71,                 34.878,                 8.8739,               0.070303,              0.0032997,              0.0032997
                      2,                 1.3732,                 2.2926,                 1.7107,                 1.7463,                0.18691,                0.26737,                0.12096,                0.04192,                0.16427,                0.22351,                0.07263,                0.01811,                 2.2017,                 7.1967,                 3.5005,                 3.5201,               0.040277,              0.0066071,              0.0066071
                      3,                 1.3084,                 2.1193,                 1.6411,                 1.6971,                0.06904,                0.61483,                0.05992,                0.02317,                0.05004,                 0.3797,                0.03003,                0.00786,                 1.9099,                 8.6353,                 5.1249,                 3.6239,               0.010148,              0.0098113,              0.0098113
                      4,                 1.2451,                 2.0591,                 1.5091,                 1.6443,                 0.3097,                0.64217,                0.40265,                0.19555,                 0.2189,                0.52233,                0.30211,                0.10485,                 1.6173,                 7.8336,                 1.9415,                 2.8954,              0.0096524,              0.0096524,              0.0096524
                      5,                  1.201,                 1.9834,                  1.469,                 1.5854,                0.40845,                0.61918,                0.44946,                0.23607,                0.38308,                0.59831,                0.39275,                0.18886,                 1.4466,                 3.6271,                 1.8412,                  2.663,              0.0096524,              0.0096524,              0.0096524
                      6,                  1.116,                 1.8949,                 1.4013,                 1.5294,                0.55425,                 0.6898,                 0.6533,                0.37733,                0.51209,                0.58624,                0.55344,                0.27371,                 1.3337,                 3.4056,                 1.5222,                 2.2949,              0.0093877,              0.0093877,              0.0093877
                      7,                 1.1144,                  1.854,                  1.383,                 1.5332,                0.55148,                0.67783,                0.65474,                0.43636,                0.55737,                0.67762,                 0.6621,                0.41086,                 1.2119,                 2.2244,                 1.5081,                 2.2502,              0.0090546,              0.0090546,              0.0090546
                      8,                 1.0576,                 1.7148,                 1.3159,                 1.4786,                 0.7745,                0.67191,                0.74217,                0.52558,                0.76517,                0.65892,                 0.7257,                0.37604,                0.99115,                 2.7149,                 1.2609,                 1.9736,              0.0086584,              0.0086584,              0.0086584
                      9,                 1.0203,                  1.648,                 1.2682,                 1.4489,                0.65777,                0.58588,                0.64719,                0.42818,                0.64554,                0.54978,                0.58139,                0.34426,                 1.1417,                 2.6421,                 1.5372,                 2.0686,              0.0082052,              0.0082052,              0.0082052
                     10,                0.96682,                 1.5427,                 1.2261,                 1.4154,                0.77111,                0.76134,                 0.8262,                0.58194,                0.75894,                0.75484,                0.81007,                0.58678,                 1.0135,                 1.8269,                 1.1639,                 1.9467,              0.0077023,              0.0077023,              0.0077023
                     11,                0.91989,                 1.5425,                 1.1805,                 1.3796,                0.62799,                0.84331,                0.78771,                0.57494,                0.62176,                0.84962,                0.78409,                0.59593,                0.96336,                 1.6518,                 1.0642,                 1.9043,              0.0071576,              0.0071576,              0.0071576
                     12,                0.87872,                 1.4495,                 1.1313,                 1.3412,                0.67446,                0.79857,                0.77807,                0.57392,                0.67056,                0.78139,                0.77503,                0.57612,                0.94066,                 1.7133,                 1.1904,                 1.8022,              0.0065796,              0.0065796,              0.0065796
                     13,                0.86455,                 1.3929,                 1.1073,                 1.3352,                0.76056,                0.73296,                0.81938,                 0.5345,                0.76056,                0.73296,                0.80864,                0.54608,                 1.0625,                  1.858,                 1.0763,                 1.9531,              0.0059775,              0.0059775,              0.0059775
                     14,                0.84666,                 1.4108,                  1.048,                 1.3147,                 0.8954,                0.71386,                 0.8456,                0.61389,                 0.8954,                0.71386,                0.84323,                0.60348,                0.95196,                 1.7404,                 1.0609,                 1.8336,              0.0053608,              0.0053608,              0.0053608
                     15,                  0.858,                 1.4463,                 1.0912,                 1.3165,                 0.6811,                0.83014,                0.82823,                 0.5726,                0.67544,                0.82365,                0.82956,                0.64063,                0.99776,                 1.5881,                 1.1751,                 1.8592,              0.0047392,              0.0047392,              0.0047392
