                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74864,                 1.6247,                 2.0594,                 1.2921,                0.78414,                0.63188,                0.72203,                0.46375,                0.78414,                0.63188,                0.69854,                0.47858,                 1.0435,                 2.6823,                 2.0343,                 2.0144,             0.00055005,             0.00055005,             0.00055005
                      2,                0.78978,                 1.3153,                 1.5095,                   1.29,                0.59304,                0.76977,                 0.7226,                0.40053,                0.55988,                0.70677,                0.62593,                0.25337,                 1.2443,                 6.0419,                 2.0141,                 2.3645,              0.0010948,              0.0010948,              0.0010948
                      3,                0.81644,                 1.3077,                 1.3953,                 1.3247,                0.60283,                0.58339,                0.61535,                0.40302,                0.60283,                0.58339,                0.61534,                 0.4145,                 1.0587,                 2.0433,                 2.0516,                 2.1585,              0.0016285,              0.0016285,              0.0016285
                      4,                0.80118,                 1.2641,                 1.2793,                 1.2991,                0.68952,                 0.7513,                0.78698,                0.53681,                0.67997,                0.73402,                0.76524,                0.56111,                 1.0389,                 2.0204,                 1.5843,                 1.8899,              0.0016175,              0.0016175,              0.0016175
                      5,                0.75654,                 1.2626,                 1.1392,                 1.2652,                0.77821,                 0.7668,                0.79943,                0.53195,                0.77177,                0.76031,                0.78988,                0.56956,                 1.0627,                  1.748,                 1.2445,                 2.0598,              0.0016175,              0.0016175,              0.0016175
                      6,                 0.7829,                 1.2563,                 1.1411,                  1.279,                0.79306,                0.80594,                0.84953,                0.63258,                0.80804,                  0.818,                0.86757,                0.69098,                0.89873,                 1.5283,                  1.047,                 1.7836,               0.001601,               0.001601,               0.001601
                      7,                0.76374,                 1.2078,                 1.0523,                 1.2682,                0.70808,                   0.83,                0.85681,                0.66377,                0.87759,                0.68117,                0.82976,                 0.5677,                0.83317,                 1.9843,                 1.0912,                 1.7016,              0.0015845,              0.0015845,              0.0015845
                      8,                0.71193,                 1.1626,                0.99389,                 1.2243,                0.86219,                0.81217,                0.87762,                0.69583,                0.86479,                0.80349,                0.86676,                0.69702,                0.76427,                 1.5366,                0.93063,                 1.5694,               0.001568,               0.001568,               0.001568
                      9,                 0.6902,                 1.1126,                0.92639,                 1.2166,                0.75887,                0.80412,                0.85602,                0.66306,                0.75814,                0.80644,                0.85137,                0.67987,                0.78855,                 1.3369,                 1.0831,                 1.6708,              0.0015515,              0.0015515,              0.0015515
                     10,                0.68773,                 1.0713,                0.91781,                 1.2195,                0.86206,                0.79118,                0.85925,                0.68829,                0.87132,                0.79995,                0.86723,                0.66767,                0.77004,                 1.4448,                0.95405,                 1.5861,               0.001535,               0.001535,               0.001535
                     11,                0.66971,                 1.0647,                0.89578,                 1.1988,                0.79148,                0.69552,                0.81469,                0.60724,                0.78891,                 0.6978,                0.81561,                0.57334,                0.98299,                 2.0058,                  1.212,                 1.9416,              0.0015185,              0.0015185,              0.0015185
                     12,                0.63526,                 1.0042,                0.83632,                 1.1781,                0.80753,                0.77128,                0.85973,                0.69371,                0.80753,                0.77128,                0.85738,                0.72503,                0.72406,                 1.1594,                0.92197,                 1.5094,               0.001502,               0.001502,               0.001502
                     13,                0.63412,                 1.0011,                0.80327,                 1.1797,                 0.8706,                0.82182,                0.87149,                0.66797,                 0.8706,                0.82182,                0.87096,                 0.7057,                0.80502,                 1.3909,                0.92216,                 1.5955,              0.0014855,              0.0014855,              0.0014855
                     14,                0.63924,                0.99501,                0.78727,                 1.1796,                0.92673,                 0.7738,                0.87252,                0.65972,                0.92673,                 0.7738,                0.86851,                0.69785,                0.89335,                 1.4436,                0.88944,                 1.7773,               0.001469,               0.001469,               0.001469
                     15,                0.66916,                 1.0635,                0.82637,                 1.1847,                0.81806,                0.74068,                0.85395,                0.69047,                 0.8259,                0.74801,                0.86131,                0.73196,                0.75684,                 1.1726,                0.94373,                 1.5812,              0.0014525,              0.0014525,              0.0014525
                     16,                0.61664,                0.95319,                0.76613,                  1.161,                0.71795,                0.80639,                0.86313,                 0.7051,                0.71795,                0.80639,                0.86827,                0.72333,                0.70359,                 1.0002,                0.95889,                 1.5008,               0.001436,               0.001436,               0.001436
                     17,                0.60108,                 1.0384,                 0.7827,                 1.1461,                0.86358,                0.82223,                0.86838,                0.68989,                0.86917,                0.82872,                0.87015,                0.75617,                0.79706,                 1.1159,                0.86636,                 1.5571,              0.0014195,              0.0014195,              0.0014195
                     18,                0.61815,                0.99164,                0.76607,                 1.1596,                0.91277,                0.79958,                0.90006,                0.75631,                0.86159,                0.84301,                0.90448,                0.79402,                0.64561,                 1.0009,                0.82808,                 1.4114,              0.0014029,              0.0014029,              0.0014029
                     19,                0.54198,                0.88018,                0.68442,                 1.1075,                0.89102,                0.83133,                0.88909,                0.73605,                0.89102,                0.83133,                 0.8911,                0.77697,                0.67574,                 1.1594,                0.74351,                 1.4105,              0.0013864,              0.0013864,              0.0013864
                     20,                0.56476,                0.93832,                0.71173,                 1.1318,                0.88671,                 0.7954,                0.89121,                0.73271,                0.88671,                 0.7954,                 0.8884,                0.78297,                0.73019,                 1.2829,                0.75886,                 1.4948,              0.0013699,              0.0013699,              0.0013699
                     21,                0.57795,                0.91453,                0.69653,                 1.1467,                0.62382,                 0.7516,                0.78774,                0.65435,                0.62906,                0.76037,                0.79299,                0.67011,                0.68727,                 1.1778,                 1.1496,                 1.4739,              0.0013534,              0.0013534,              0.0013534
                     22,                0.57936,                0.97139,                0.71283,                 1.1439,                0.80539,                 0.7988,                0.87576,                0.72169,                0.80539,                 0.7988,                0.87574,                0.75197,                 0.7261,                 1.2803,                0.91844,                 1.4449,              0.0013369,              0.0013369,              0.0013369
                     23,                0.54244,                0.86347,                0.65123,                  1.102,                0.93163,                0.81066,                0.89148,                 0.7403,                0.93163,                0.81066,                0.89029,                0.75889,                0.71195,                 1.2139,                0.76091,                 1.4936,              0.0013204,              0.0013204,              0.0013204
                     24,                 0.5664,                0.87477,                0.68828,                 1.1251,                0.87697,                0.81467,                0.90363,                0.75858,                0.87697,                0.81467,                0.90538,                0.80842,                0.60968,                 1.1766,                 0.6891,                 1.3619,              0.0013039,              0.0013039,              0.0013039
                     25,                0.54199,                0.87409,                 0.6459,                 1.1111,                0.83291,                0.81812,                0.88702,                0.74804,                0.84067,                0.82378,                0.89162,                0.76991,                0.66474,                 1.2466,                0.73983,                  1.425,              0.0012874,              0.0012874,              0.0012874
                     26,                0.55258,                0.87295,                 0.6422,                 1.1225,                0.66443,                0.74994,                0.75331,                0.65543,                0.66443,                0.74994,                0.75171,                0.64895,                0.65732,                 1.2401,                 1.0615,                 1.4341,              0.0012709,              0.0012709,              0.0012709
                     27,                0.53498,                0.86956,                0.62641,                 1.1121,                0.92472,                0.84962,                0.90137,                0.77108,                0.92472,                0.84962,                0.90214,                0.81347,                0.62505,                 1.1538,                 0.6906,                 1.3641,              0.0012544,              0.0012544,              0.0012544
                     28,                0.56314,                0.93663,                0.68647,                 1.1231,                0.92101,                0.84962,                0.90364,                0.77197,                0.92101,                0.84962,                0.90397,                0.79802,                0.66332,                 1.1929,                0.68331,                 1.4255,              0.0012379,              0.0012379,              0.0012379
                     29,                0.53531,                0.82606,                0.60016,                 1.1052,                0.95751,                0.85384,                0.90718,                0.75963,                0.95751,                0.85384,                0.90718,                0.83614,                0.67776,                0.92711,                0.67922,                 1.4556,              0.0012214,              0.0012214,              0.0012214
                     30,                0.51165,                0.78433,                0.58624,                 1.0987,                0.90628,                 0.8584,                0.90748,                  0.791,                0.89213,                0.84541,                 0.8991,                0.80688,                 0.6403,                 1.1832,                0.69676,                 1.4059,              0.0012049,              0.0012049,              0.0012049
                     31,                0.50289,                0.76782,                0.56943,                 1.0907,                0.92206,                0.85276,                0.89191,                0.77071,                0.92206,                0.85276,                0.89199,                0.78732,                0.63247,                 1.0999,                0.63943,                 1.3946,              0.0011884,              0.0011884,              0.0011884
                     32,                0.52447,                0.82451,                0.60877,                 1.0896,                0.79542,                0.85496,                0.90324,                0.78149,                0.79542,                0.85496,                0.90196,                 0.7992,                0.57358,                 1.1029,                0.74514,                 1.3115,              0.0011719,              0.0011719,              0.0011719
                     33,                 0.5092,                0.76632,                 0.6114,                 1.0897,                0.92719,                0.81488,                0.89433,                0.77164,                0.94255,                0.80023,                0.89059,                0.80792,                0.58443,                0.94148,                0.66098,                 1.3362,              0.0011554,              0.0011554,              0.0011554
                     34,                0.48386,                0.72172,                0.57261,                 1.0714,                0.87942,                0.79396,                0.87994,                0.73885,                0.87942,                0.79396,                0.87994,                0.77885,                0.64624,                0.99653,                0.75101,                 1.3783,              0.0011389,              0.0011389,              0.0011389
