                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.49996,                0.74772,                0.55204,                 1.0749,                 0.8993,                0.76102,                0.89973,                0.79126,                0.90795,                0.76884,                0.90003,                0.78674,                0.56078,                0.96746,                0.69636,                 1.3006,              0.0011224,              0.0011224,              0.0011224
                     36,                0.48237,                0.73038,                0.55831,                 1.0698,                0.91033,                0.85248,                0.89553,                0.76661,                0.91033,                0.85248,                0.89623,                0.78958,                 0.6268,                 1.3074,                0.66446,                 1.3715,              0.0011059,              0.0011059,              0.0011059
                     37,                0.48118,                  0.722,                0.53816,                 1.0681,                0.94471,                0.86067,                0.91638,                 0.7934,                0.94471,                0.86067,                0.91335,                0.82169,                0.60839,                 1.1328,                0.60603,                 1.3541,              0.0010894,              0.0010894,              0.0010894
                     38,                0.48477,                0.76431,                0.54096,                 1.0656,                0.89949,                0.89713,                0.92207,                0.81504,                0.89949,                0.89713,                0.91704,                0.82909,                0.55819,                  1.006,                0.56566,                 1.3015,              0.0010729,              0.0010729,              0.0010729
                     39,                0.48591,                0.73871,                0.53781,                 1.0724,                 0.9445,                0.83592,                0.91133,                 0.7938,                 0.9445,                0.83592,                0.91087,                0.82602,                0.57806,                0.92698,                   0.61,                 1.3397,              0.0010564,              0.0010564,              0.0010564
                     40,                0.48213,                0.72278,                0.55121,                 1.0697,                 0.9522,                0.86319,                0.91741,                0.81811,                 0.9522,                0.86319,                0.91492,                0.81981,                0.54301,                 1.0288,                0.56172,                 1.2619,              0.0010399,              0.0010399,              0.0010399
                     41,                0.48213,                0.70958,                0.54361,                 1.0502,                0.92884,                0.84227,                0.90745,                0.80517,                0.92884,                0.84227,                0.90737,                0.81956,                 0.5515,                 1.0231,                0.61414,                 1.2922,              0.0010234,              0.0010234,              0.0010234
                     42,                0.45762,                0.67428,                0.50656,                 1.0398,                0.95577,                0.86483,                0.92261,                0.80815,                0.95577,                0.86483,                0.92271,                0.83751,                0.58744,                 1.0494,                 0.5827,                 1.3013,              0.0010069,              0.0010069,              0.0010069
                     43,                0.45791,                0.70132,                0.49713,                 1.0493,                0.93493,                0.89125,                0.91469,                0.81266,                0.93931,                0.89021,                0.91626,                0.84455,                0.55016,                0.97309,                 0.5786,                 1.2814,             0.00099036,             0.00099036,             0.00099036
                     44,                0.43789,                0.68307,                0.49063,                 1.0432,                0.95309,                0.85128,                0.92741,                0.81991,                0.95309,                0.85128,                0.92842,                0.84808,                0.52354,                0.89171,                0.56741,                 1.2673,             0.00097386,             0.00097386,             0.00097386
                     45,                0.44278,                0.70245,                0.49158,                 1.0472,                0.95028,                0.84076,                0.91742,                0.77191,                0.95028,                0.84076,                0.92119,                0.82192,                0.61907,                0.91321,                0.63435,                 1.3521,             0.00095736,             0.00095736,             0.00095736
                     46,                0.46843,                 0.6962,                 0.5005,                 1.0662,                0.93904,                0.87316,                0.91585,                 0.8069,                0.93904,                0.87316,                 0.9165,                0.84236,                0.56448,                0.95091,                0.64175,                 1.2824,             0.00094085,             0.00094085,             0.00094085
                     47,                0.45939,                0.70242,                0.49802,                 1.0467,                0.85749,                0.86441,                0.90251,                0.77668,                0.85749,                0.86441,                 0.9026,                0.80351,                0.61967,                0.80677,                0.74484,                 1.3543,             0.00092435,             0.00092435,             0.00092435
                     48,                 0.4524,                0.66966,                0.48179,                 1.0493,                0.89496,                0.88328,                0.92508,                0.81678,                0.88837,                0.87679,                0.91098,                0.83216,                0.54797,                 1.0404,                0.60739,                 1.2975,             0.00090785,             0.00090785,             0.00090785
                     49,                0.43692,                0.64015,                0.48188,                  1.036,                 0.8912,                0.74858,                0.89377,                0.79326,                 0.8912,                0.74858,                0.89389,                0.80481,                0.56459,                 1.1126,                0.71974,                  1.274,             0.00089134,             0.00089134,             0.00089134
                     50,                0.44192,                0.64338,                0.47031,                 1.0438,                0.92172,                0.83874,                0.90276,                0.80216,                0.92172,                0.83874,                0.90276,                0.82756,                0.53336,                0.86274,                0.62056,                  1.265,             0.00087484,             0.00087484,             0.00087484
                     51,                0.44056,                0.62419,                0.46984,                 1.0382,                0.94375,                0.83446,                0.91567,                0.79106,                0.94375,                0.83446,                0.91539,                0.82853,                0.53676,                0.88954,                0.59926,                  1.265,             0.00085834,             0.00085834,             0.00085834
                     52,                0.43992,                0.61985,                0.46322,                 1.0385,                0.92137,                0.83834,                0.91492,                0.80649,                0.92137,                0.83834,                0.90742,                0.82568,                0.53697,                0.87006,                0.63291,                 1.2608,             0.00084184,             0.00084184,             0.00084184
                     53,                0.41585,                0.61471,                0.44184,                  1.023,                 0.8651,                0.81765,                0.89847,                0.79186,                 0.8651,                0.81765,                0.89317,                0.81222,                0.54207,                0.97152,                0.70948,                 1.2744,             0.00082533,             0.00082533,             0.00082533
                     54,                0.42409,                0.61374,                0.44845,                 1.0372,                0.93335,                0.88084,                0.91639,                0.82745,                0.93335,                0.88084,                0.91639,                0.83799,                0.51472,                 1.0302,                0.56224,                 1.2242,             0.00080883,             0.00080883,             0.00080883
                     55,                0.40805,                0.57539,                0.41955,                 1.0167,                0.92416,                0.86365,                0.91074,                0.80819,                0.92416,                0.86365,                0.91074,                 0.8323,                0.51804,                0.89193,                0.61229,                 1.2233,             0.00079233,             0.00079233,             0.00079233
                     56,                0.43191,                0.63269,                 0.4572,                 1.0267,                0.95595,                0.88437,                0.92498,                0.82279,                0.95595,                0.88437,                0.92498,                 0.8479,                0.48622,                0.74367,                0.52698,                 1.1966,             0.00077582,             0.00077582,             0.00077582
